material_id,formula,formation_energy_per_atom,band_gap,exfol_en,dimensionality,source
JVASP-113724,TaSbO4,-2.08032,1.371,,2D-bulk,JARVIS_layered
JVASP-11211,AgSb2F12,-2.07728,0.535,,2D-bulk,JARVIS_layered
JVASP-138917,ZrPbF2,-2.07515,0.0,,2D-bulk,JARVIS_layered
JVASP-9218,MgSnO2,-2.0716,1.902,,2D-bulk,JARVIS_layered
JVASP-48423,Li3Co5OF11,-2.07152,0.0,,2D-bulk,JARVIS_layered
JVASP-9349,CrW2O8,-2.07081,0.0,,2D-bulk,JARVIS_layered
JVASP-114941,ZrZnF2,-2.06943,0.0,,2D-bulk,JARVIS_layered
JVASP-109220,MnOF,-2.06853,0.0,,2D-bulk,JARVIS_layered
JVASP-112831,TiMn3O8,-2.06537,0.804,,2D-bulk,JARVIS_layered
JVASP-107789,VPbO3,-2.05776,0.0,,2D-bulk,JARVIS_layered
JVASP-118722,MgTaO2,-2.05771,0.0,,2D-bulk,JARVIS_layered
JVASP-114284,GeF3,-2.05766,0.0,,2D-bulk,JARVIS_layered
JVASP-30290,Mn2F7,-2.05748,0.0,,2D-bulk,JARVIS_layered
JVASP-110320,V2CuO6,-2.05628,0.0,,2D-bulk,JARVIS_layered
JVASP-25591,NbIO2,-2.05528,0.799,,2D-bulk,JARVIS_layered
JVASP-94344,MoO2,-2.05296,0.74,,2D-bulk,JARVIS_layered
JVASP-118308,SiOF,-2.05145,0.0,,2D-bulk,JARVIS_layered
JVASP-116574,V3As2O9,-2.05043,0.679,,2D-bulk,JARVIS_layered
JVASP-137975,AlO,-2.04709,0.0,,2D-bulk,JARVIS_layered
JVASP-142607,Li2Nb2Fe3O10,-2.04626,0.123,,2D-bulk,JARVIS_layered
JVASP-134861,YSF,-2.04581,0.412,,2D-bulk,JARVIS_layered
JVASP-141586,LiFeBO3,-2.04497,0.343,,2D-bulk,JARVIS_layered
JVASP-97433,TlMo3O9,-2.03953,0.747,,2D-bulk,JARVIS_layered
JVASP-30754,TiZnGe2O6,-2.0375,2.074,,2D-bulk,JARVIS_layered
JVASP-30202,LuH3O3,-2.03632,5.01,,2D-bulk,JARVIS_layered
JVASP-30553,MgCr2O5,-2.02903,0.0,,2D-bulk,JARVIS_layered
JVASP-86960,LaZnPO,-2.02568,0.625,,2D-bulk,JARVIS_layered
JVASP-13096,Mg3H4O5,-2.02479,4.096,,2D-bulk,JARVIS_layered
JVASP-155556,AcVPO,-2.02399,0.0,,2D-bulk,JARVIS_layered
JVASP-135105,HfZnO2,-2.02332,0.0,,2D-bulk,JARVIS_layered
JVASP-30187,TmH3O3,-2.02164,4.975,,2D-bulk,JARVIS_layered
JVASP-105471,La2Bi2S4OF,-2.01923,0.0,,2D-bulk,JARVIS_layered
JVASP-12110,HfNCl,-2.01821,2.212,35.23,2D-bulk,JARVIS_layered
JVASP-153291,P2Pb3O8,-2.01426,3.463,,2D-bulk,JARVIS_layered
JVASP-30715,SnW2O8,-2.01409,0.981,,2D-bulk,JARVIS_layered
JVASP-29519,VPbClO3,-2.01368,2.0,124.85,2D-bulk,JARVIS_layered
JVASP-30761,MgGe2WO6,-2.01068,0.0,,2D-bulk,JARVIS_layered
JVASP-60626,P2O5,-2.00572,5.397,,2D-bulk,JARVIS_layered
JVASP-117706,ZrAgF2,-2.0047,0.0,,2D-bulk,JARVIS_layered
JVASP-30634,W3O8,-2.00268,0.102,,2D-bulk,JARVIS_layered
JVASP-114513,TiBO4,-1.99641,0.0,,2D-bulk,JARVIS_layered
JVASP-120103,YCl2O,-1.99325,0.0,,2D-bulk,JARVIS_layered
JVASP-9913,SbF5,-1.99254,1.713,,2D-bulk,JARVIS_layered
JVASP-30059,CrPO4,-1.99218,1.429,91.04,2D-bulk,JARVIS_layered
JVASP-30527,MgCr4O9,-1.99199,0.014,,2D-bulk,JARVIS_layered
JVASP-30329,CrPO5,-1.99143,0.059,,2D-bulk,JARVIS_layered
JVASP-101474,LiMn3O5F,-1.99138,0.0,,2D-bulk,JARVIS_layered
JVASP-12050,MgRe2O8,-1.98767,3.903,70.61,2D-bulk,JARVIS_layered
JVASP-89918,V2H2O5,-1.98747,0.0,,2D-bulk,JARVIS_layered
JVASP-52326,BiOF,-1.98651,3.203,,2D-bulk,JARVIS_layered
JVASP-3915,NdBr3,-1.98489,2.654,90.04,2D-bulk,JARVIS_layered
JVASP-22660,MgCl2,-1.98404,5.626,,2D-bulk,JARVIS_layered
JVASP-146264,Li8FeO6,-1.98378,0.594,,2D-bulk,JARVIS_layered
JVASP-29357,ZrNCl,-1.98354,1.765,,2D-bulk,JARVIS_layered
JVASP-9408,SbPO4,-1.98323,4.065,104.61,2D-bulk,JARVIS_layered
JVASP-30322,MnP2O7,-1.97567,0.677,,2D-bulk,JARVIS_layered
JVASP-114410,ZrZnO2,-1.97328,0.0,,2D-bulk,JARVIS_layered
JVASP-56556,BaThBr6,-1.9717,2.852,48.54,intercalated ion,JARVIS_layered
JVASP-30212,SbOF3,-1.96944,2.535,,2D-bulk,JARVIS_layered
JVASP-3918,SmBr3,-1.96929,2.691,87.72,2D-bulk,JARVIS_layered
JVASP-30671,AlSbO3,-1.96864,1.299,,2D-bulk,JARVIS_layered
JVASP-50826,BSbO3,-1.9648,2.899,,2D-bulk,JARVIS_layered
JVASP-150681,TiZnBi2O6,-1.96432,1.226,,2D-bulk,JARVIS_layered
JVASP-12164,YBr3,-1.96405,3.59,77.18,2D-bulk,JARVIS_layered
JVASP-30768,Mo2O5,-1.96061,0.611,,2D-bulk,JARVIS_layered
JVASP-119352,VGeO3,-1.96011,0.0,,2D-bulk,JARVIS_layered
JVASP-134547,ScCl2O,-1.95215,0.0,,2D-bulk,JARVIS_layered
JVASP-153665,VBiPbO5,-1.95193,2.74,,2D-bulk,JARVIS_layered
JVASP-155554,PmCrPO,-1.94969,0.0,,2D-bulk,JARVIS_layered
JVASP-49567,MgMo6O16,-1.94616,0.0,,2D-bulk,JARVIS_layered
JVASP-139274,LaBr3,-1.94552,2.773,,2D-bulk,JARVIS_layered
JVASP-29522,V2Te2O7F2,-1.9449,0.655,,2D-bulk,JARVIS_layered
JVASP-30085,Mg5H8O9,-1.94336,4.094,,2D-bulk,JARVIS_layered
JVASP-11418,CuSiO3,-1.93714,0.247,,2D-bulk,JARVIS_layered
JVASP-155552,AcCrPO,-1.93592,0.0,,2D-bulk,JARVIS_layered
JVASP-115096,AlGaO2,-1.93558,0.0,,2D-bulk,JARVIS_layered
JVASP-139270,LaBr2,-1.93178,0.0,,2D-bulk,JARVIS_layered
JVASP-3942,ThIN,-1.92817,2.824,54.0,2D-bulk,JARVIS_layered
JVASP-152826,Fe2Si2SbHO9,-1.9264,0.244,,2D-bulk,JARVIS_layered
JVASP-3552,PbClF,-1.92451,3.816,92.22,intercalated ion,JARVIS_layered
JVASP-135275,LaCl2,-1.92384,0.0,,2D-bulk,JARVIS_layered
JVASP-118328,TcOF2,-1.92182,0.0,,2D-bulk,JARVIS_layered
JVASP-113677,RbAlO2,-1.91959,0.195,,2D-bulk,JARVIS_layered
JVASP-3753,VClO,-1.91675,0.0,39.04,2D-bulk,JARVIS_layered
JVASP-85244,La2PBr2,-1.91449,0.0,,2D-bulk,JARVIS_layered
JVASP-12502,Pr2Br5,-1.91415,0.0,93.65,3D-bulk,JARVIS_layered
JVASP-154241,Fe2Si2BiHO9,-1.91109,0.008,,2D-bulk,JARVIS_layered
JVASP-144230,Li3Mn3CoO8,-1.91095,0.0,,2D-bulk,JARVIS_layered
JVASP-134566,TaCl2O,-1.90954,0.0,,2D-bulk,JARVIS_layered
JVASP-155555,PrCrPO,-1.90572,0.0,,2D-bulk,JARVIS_layered
JVASP-107385,CrO2,-1.90518,0.0,,2D-bulk,JARVIS_layered
JVASP-29329,SmSI,-1.90381,2.402,45.27,2D-bulk,JARVIS_layered
JVASP-2091,PbF4,-1.9023,1.849,102.41,2D-bulk,JARVIS_layered
JVASP-51060,SrAl2Cl8,-1.90192,5.329,54.99,intercalated ion,JARVIS_layered
JVASP-120995,ZrCuF2,-1.90173,0.0,,2D-bulk,JARVIS_layered
JVASP-5122,SmCuSeF,-1.89872,0.0,,2D-bulk,JARVIS_layered
JVASP-98638,AlP2H5O9,-1.89773,5.728,,2D-bulk,JARVIS_layered
JVASP-117313,Li4MnCo2O7,-1.89661,0.519,,2D-bulk,JARVIS_layered
JVASP-4023,DySI,-1.89552,2.577,55.68,2D-bulk,JARVIS_layered
JVASP-28375,HoSI,-1.89487,2.57,55.48,2D-bulk,JARVIS_layered
JVASP-29411,Tm2Te5O13,-1.89108,3.028,,2D-bulk,JARVIS_layered
JVASP-134307,TiBr2O,-1.88997,0.872,,2D-bulk,JARVIS_layered
JVASP-24288,Er2Te5O13,-1.88515,3.039,,2D-bulk,JARVIS_layered
JVASP-30173,SbOF,-1.88282,3.048,33.87,3D-bulk,JARVIS_layered
JVASP-29400,Y2Te5O13,-1.88217,3.052,,2D-bulk,JARVIS_layered
JVASP-97406,AlPO4,-1.88132,2.085,,2D-bulk,JARVIS_layered
JVASP-106855,PmS,-1.87966,0.0,,2D-bulk,JARVIS_layered
JVASP-26765,Dy2Te5O13,-1.87789,3.044,,2D-bulk,JARVIS_layered
JVASP-5659,HfCl4,-1.87674,3.912,71.62,1D-bulk,JARVIS_layered
JVASP-14298,SmS,-1.87602,0.0,,2D-bulk,JARVIS_layered
JVASP-11574,Mo3O8,-1.87598,0.256,,2D-bulk,JARVIS_layered
JVASP-113685,AlSO,-1.87486,0.0,,2D-bulk,JARVIS_layered
JVASP-12983,SrBi2O4,-1.87133,2.48,45.28,intercalated ion,JARVIS_layered
JVASP-29349,Sc5Cl8,-1.871,0.0,,2D-bulk,JARVIS_layered
JVASP-144862,FePO4F,-1.86839,0.0,,2D-bulk,JARVIS_layered
JVASP-34831,LiCuPO4F,-1.86642,0.165,,2D-bulk,JARVIS_layered
JVASP-50679,LiCuPO4,-1.86349,0.47,,2D-bulk,JARVIS_layered
JVASP-120735,PHPbO4,-1.86099,3.567,,2D-bulk,JARVIS_layered
JVASP-108827,Mo2HO6,-1.86015,0.0,,2D-bulk,JARVIS_layered
JVASP-138627,NbClO,-1.86015,0.0,,2D-bulk,JARVIS_layered
JVASP-62733,BPb3O4F,-1.85946,2.387,,2D-bulk,JARVIS_layered
JVASP-78914,WO2,-1.85668,0.0,,2D-bulk,JARVIS_layered
JVASP-30573,Cr2O5,-1.85162,0.48,,2D-bulk,JARVIS_layered
JVASP-28451,NbCl2O,-1.85085,0.816,,2D-bulk,JARVIS_layered
JVASP-94970,Ti2H2O3,-1.84964,0.0,,2D-bulk,JARVIS_layered
JVASP-29829,MgH2O2,-1.8476,4.637,,2D-bulk,JARVIS_layered
JVASP-134919,MgGeO2,-1.84248,1.435,,2D-bulk,JARVIS_layered
JVASP-97504,AlH3O3,-1.84189,5.499,,2D-bulk,JARVIS_layered
JVASP-152273,FeSiO4,-1.84185,0.463,,2D-bulk,JARVIS_layered
JVASP-29797,V2H3O5,-1.83653,0.0,,2D-bulk,JARVIS_layered
JVASP-30721,MgSn2O4,-1.83493,2.214,,2D-bulk,JARVIS_layered
JVASP-5779,HfBrN,-1.83226,1.865,37.03,2D-bulk,JARVIS_layered
JVASP-2106,TlF,-1.83209,3.11,66.56,1D-bulk,JARVIS_layered
JVASP-30790,Cr3O7,-1.83063,0.0,,2D-bulk,JARVIS_layered
JVASP-29275,VRe2O9,-1.82792,0.432,,2D-bulk,JARVIS_layered
JVASP-116001,TlInF2,-1.82568,1.927,,2D-bulk,JARVIS_layered
JVASP-120038,YBr2O,-1.82564,0.0,,2D-bulk,JARVIS_layered
JVASP-142734,Sb3Au2Xe2F19,-1.82527,0.848,,2D-bulk,JARVIS_layered
JVASP-136646,BiF2,-1.82447,0.0,,2D-bulk,JARVIS_layered
JVASP-12018,SrSbSe2F,-1.82397,0.193,57.38,intercalated ion,JARVIS_layered
JVASP-153886,MoPb2O5,-1.82281,2.933,,2D-bulk,JARVIS_layered
JVASP-143287,Mn3V3Te2O16,-1.81937,0.0,,2D-bulk,JARVIS_layered
JVASP-146093,VTeO4,-1.81854,0.7,,2D-bulk,JARVIS_layered
JVASP-136775,YH2O3,-1.81532,0.0,,2D-bulk,JARVIS_layered
JVASP-90470,ZrCl3,-1.81278,0.316,,2D-bulk,JARVIS_layered
JVASP-141824,V3H5O8,-1.81187,0.0,,2D-bulk,JARVIS_layered
JVASP-14068,AsPO4,-1.81176,4.704,,2D-bulk,JARVIS_layered
JVASP-144240,SbMo2O8,-1.81146,0.146,,2D-bulk,JARVIS_layered
JVASP-30366,Fe3OF7,-1.80833,0.123,,2D-bulk,JARVIS_layered
JVASP-127551,FeF3,-1.80819,0.0,,2D-bulk,JARVIS_layered
JVASP-93364,ZrBrN,-1.80576,1.59,,2D-bulk,JARVIS_layered
JVASP-30624,ZnMo6O16,-1.80056,0.0,,2D-bulk,JARVIS_layered
JVASP-116102,AlCdO2,-1.79806,0.0,,2D-bulk,JARVIS_layered
JVASP-29461,TeOF2,-1.79768,4.164,,2D-bulk,JARVIS_layered
JVASP-30112,ZrCd2H12O6F8,-1.79236,4.543,,2D-bulk,JARVIS_layered
JVASP-30176,Y3I7O,-1.78885,2.569,78.36,2D-bulk,JARVIS_layered
JVASP-30299,Mn5O9F,-1.78235,0.125,,2D-bulk,JARVIS_layered
JVASP-141583,Mn2CrO6,-1.78162,0.0,,2D-bulk,JARVIS_layered
JVASP-86614,FeWClO4,-1.77681,0.54,,2D-bulk,JARVIS_layered
JVASP-112282,Mn5CrO12,-1.76735,0.0,,2D-bulk,JARVIS_layered
JVASP-134280,ScBr2O,-1.76662,0.0,,2D-bulk,JARVIS_layered
JVASP-42301,LiMnPH2O5,-1.76398,1.913,,2D-bulk,JARVIS_layered
JVASP-38029,SnClF,-1.76335,2.919,81.03,intercalated ion,JARVIS_layered
JVASP-1981,ZrCl2,-1.762,0.866,69.38,2D-bulk,JARVIS_layered
JVASP-107386,MnO2,-1.75636,0.705,,2D-bulk,JARVIS_layered
JVASP-117509,BPO4,-1.75443,4.77,,2D-bulk,JARVIS_layered
JVASP-29509,Cr3O8,-1.75388,0.0,,2D-bulk,JARVIS_layered
JVASP-145897,Mn5VO12,-1.74979,0.0,,2D-bulk,JARVIS_layered
JVASP-123716,ThSe2,-1.74911,2.26,,2D-bulk,JARVIS_layered
JVASP-109214,VBrO,-1.74817,0.0,,2D-bulk,JARVIS_layered
JVASP-88011,WCl2O2,-1.74537,1.998,,2D-bulk,JARVIS_layered
JVASP-26383,KLiZnO2,-1.74238,2.522,,2D-bulk,JARVIS_layered
JVASP-30762,ZnGe2WO6,-1.74224,1.942,,2D-bulk,JARVIS_layered
JVASP-139290,LaO2,-1.74176,0.0,,2D-bulk,JARVIS_layered
JVASP-30355,CrBiO4,-1.72925,0.0,,2D-bulk,JARVIS_layered
JVASP-139437,AlSnO2,-1.72836,0.0,,2D-bulk,JARVIS_layered
JVASP-138989,GaF,-1.72498,2.028,,2D-bulk,JARVIS_layered
JVASP-98214,CrPb2O5,-1.72306,1.571,,2D-bulk,JARVIS_layered
JVASP-3990,ErSeI,-1.72165,2.194,62.06,2D-bulk,JARVIS_layered
JVASP-109705,MoHO3,-1.71926,0.0,,2D-bulk,JARVIS_layered
JVASP-2065,CaI2,-1.71628,3.446,82.42,intercalated ion,JARVIS_layered
JVASP-139479,AlTlO2,-1.71518,0.0,,2D-bulk,JARVIS_layered
JVASP-29624,YbI2,-1.71366,3.655,84.17,2D-bulk,JARVIS_layered
JVASP-117146,TbPS,-1.70996,0.386,,2D-bulk,JARVIS_layered
JVASP-140739,SmPS,-1.70598,0.467,,2D-bulk,JARVIS_layered
JVASP-8621,CrHO2,-1.70533,1.358,,2D-bulk,JARVIS_layered
JVASP-210,HfS2,-1.70531,1.078,86.83,2D-bulk,JARVIS_layered
JVASP-102248,VCl2O,-1.70531,0.346,,2D-bulk,JARVIS_layered
JVASP-29701,Lu2CCl2,-1.70269,1.114,42.1,2D-bulk,JARVIS_layered
JVASP-146356,HoPS,-1.69807,0.361,,2D-bulk,JARVIS_layered
JVASP-145226,YbH2ClO2,-1.69783,0.0,,2D-bulk,JARVIS_layered
JVASP-112305,PrPS,-1.6961,0.379,,2D-bulk,JARVIS_layered
JVASP-29862,Mo2H2O7,-1.69545,2.2,,2D-bulk,JARVIS_layered
JVASP-85794,LaHBr2,-1.69392,3.835,,2D-bulk,JARVIS_layered
JVASP-117889,Sc2CCl2,-1.69292,0.895,,2D-bulk,JARVIS_layered
JVASP-29526,ZnTeMoO6,-1.69248,2.985,,2D-bulk,JARVIS_layered
JVASP-32903,Cr3HO8,-1.69199,0.0,,2D-bulk,JARVIS_layered
JVASP-97505,V3H4O8,-1.68952,0.0,,2D-bulk,JARVIS_layered
JVASP-9928,BiF5,-1.68762,0.296,,2D-bulk,JARVIS_layered
JVASP-142238,ErPS,-1.68733,0.092,,2D-bulk,JARVIS_layered
JVASP-11769,MnTeMoO6,-1.6871,1.034,,2D-bulk,JARVIS_layered
JVASP-119546,Mn5SnO12,-1.68654,0.827,,2D-bulk,JARVIS_layered
JVASP-29585,SmAl2Cl8,-1.68601,0.111,,2D-bulk,JARVIS_layered
JVASP-82,ZrS2,-1.68597,0.911,88.92,2D-bulk,JARVIS_layered
JVASP-30476,RuF4,-1.68442,0.0,,2D-bulk,JARVIS_layered
JVASP-115081,HfCl3,-1.68295,0.0,,2D-bulk,JARVIS_layered
JVASP-96071,EuAl2Cl8,-1.68211,0.039,,2D-bulk,JARVIS_layered
JVASP-30351,TiMn5O12,-1.6818,0.0,,2D-bulk,JARVIS_layered
JVASP-10909,Al2Bi3O9,-1.67377,0.0,,2D-bulk,JARVIS_layered
JVASP-29264,Sb2Au3F18,-1.67324,0.178,,2D-bulk,JARVIS_layered
JVASP-13104,KAsO2,-1.67216,3.735,58.19,intercalated ion,JARVIS_layered
JVASP-103538,CrClO,-1.67097,0.496,,2D-bulk,JARVIS_layered
JVASP-102308,La2AsI2,-1.67091,0.0,,2D-bulk,JARVIS_layered
JVASP-85271,La2PI2,-1.67055,0.0,,2D-bulk,JARVIS_layered
JVASP-136122,NbBrO,-1.66862,0.0,,2D-bulk,JARVIS_layered
JVASP-30374,V3Fe3Te2O16,-1.66816,0.0,,2D-bulk,JARVIS_layered
JVASP-108787,LaPbNO5,-1.66785,2.047,,2D-bulk,JARVIS_layered
JVASP-3894,TiNCl,-1.66356,0.608,39.4,2D-bulk,JARVIS_layered
JVASP-112273,BHPb2O4,-1.6631,3.023,,2D-bulk,JARVIS_layered
JVASP-18357,TiCl3,-1.66302,0.0,73.49,2D-bulk,JARVIS_layered
JVASP-30170,Sb4O5F2,-1.66267,2.935,,2D-bulk,JARVIS_layered
JVASP-120576,CdTeMoO6,-1.65854,3.051,,2D-bulk,JARVIS_layered
JVASP-4690,ZnRe2O8,-1.65691,3.864,,2D-bulk,JARVIS_layered
JVASP-100063,LiCoO2,-1.65511,1.008,,2D-bulk,JARVIS_layered
JVASP-12932,RbBrF4,-1.65484,3.07,48.54,intercalated ion,JARVIS_layered
JVASP-139453,AlTeO4,-1.65464,0.0,,2D-bulk,JARVIS_layered
JVASP-136902,LiLaO,-1.65433,0.0,,2D-bulk,JARVIS_layered
JVASP-134296,TaBr2O,-1.65367,0.0,,2D-bulk,JARVIS_layered
JVASP-12888,LiBiO2,-1.6472,2.118,52.17,intercalated ion,JARVIS_layered
JVASP-29231,Mg3P2H16O16,-1.64363,5.379,,2D-bulk,JARVIS_layered
JVASP-30302,Mn5SbO12,-1.64275,0.0,,2D-bulk,JARVIS_layered
JVASP-110896,Y2Br3,-1.63623,0.687,,2D-bulk,JARVIS_layered
JVASP-29413,TcO3F,-1.63531,2.588,,2D-bulk,JARVIS_layered
JVASP-134716,LiGaF,-1.63034,0.0,,2D-bulk,JARVIS_layered
JVASP-30286,TiCo2O6,-1.62858,0.0,,2D-bulk,JARVIS_layered
JVASP-120290,LiYO,-1.62518,0.0,,2D-bulk,JARVIS_layered
JVASP-18461,UBrN,-1.62375,0.0,54.02,2D-bulk,JARVIS_layered
JVASP-134299,TaBrO,-1.62288,0.0,,2D-bulk,JARVIS_layered
JVASP-141607,Mn5CoO12,-1.62214,0.005,,2D-bulk,JARVIS_layered
JVASP-30340,CrSbO4,-1.62086,0.085,,2D-bulk,JARVIS_layered
JVASP-10734,CaSb4O8,-1.62059,1.519,86.61,intercalated ion,JARVIS_layered
JVASP-125259,TmBr3,-1.61993,2.886,,2D-bulk,JARVIS_layered
JVASP-30241,VC2O6,-1.61901,0.0,39.91,2D-bulk,JARVIS_layered
JVASP-12017,NbBr2O,-1.61493,0.767,62.8,2D-bulk,JARVIS_layered
JVASP-60623,Ge3Sb2O9,-1.61248,3.037,154.11,2D-bulk,JARVIS_layered
JVASP-16908,TiBi2O6,-1.60788,0.0,,2D-bulk,JARVIS_layered
JVASP-121898,Li2FeCo2O6,-1.60409,0.0,,2D-bulk,JARVIS_layered
JVASP-28359,TiSCl,-1.6039,0.0,,2D-bulk,JARVIS_layered
JVASP-139145,AlOF,-1.60389,0.0,,2D-bulk,JARVIS_layered
JVASP-8257,SnO2,-1.60225,1.472,,2D-bulk,JARVIS_layered
JVASP-29913,GaH3NF3,-1.60208,5.412,,2D-bulk,JARVIS_layered
JVASP-12910,SrH4O3,-1.60199,4.546,60.62,intercalated ion,JARVIS_layered
